Pesan,Kategori
Besok mau kemana ya? Bisa anterin ga?,Ham
Apa rencana minggu depan? Mau ikutan nggak?,Ham
Lagi ngapain? Mau nemenin belanja ga?,Ham
Sekarang kamu di mana? Lagi apa aja?,Ham
Eh mau tanya dong udah makan malam belum?,Ham
Halo mau nanya udah denger lagu baru belum?,Ham
Kapan kita bisa ketemu lagi ya? Kangen nih.,Ham
Apa kabar? Mau jalan-jalan ga?,Ham
Bro lagi apa aja nih? Udah minum belum?,Ham
Mau nanya dong udah olahraga belum hari ini?,Ham
Eh udah pulang kerja belum? Udah malem nih.,Ham
Besok mau kemana ya? Pengen jalan-jalan ga?,Ham
Apa kabar hari ini? Mau hangout ga?,Ham
Mau tanya udah makan siang belum? Lapar ga?,Ham
Hai lagi apa aja sekarang? Mau main ke mana nih?,Ham
Sekarang lagi apa? Udah minum belum?,Ham
Halo mau tanya udah denger berita terbaru belum?,Ham
Bro lagi apa aja nih? Udah makan siang belum?,Ham
Eh mau tanya dong udah beli barang yang diperlukan belum?,Ham
Apa kabar? Mau main ke mana nih?,Ham
Sekarang kamu di mana? Lagi apa aja?,Ham
Halo lagi ngapain sekarang? Mau jalan-jalan ga?,Ham
Apa kabar hari ini? Udah makan belum?,Ham
Eh lagi ngapain nih? Mau ikutan ke sana ga?,Ham
Hai lagi apa aja sekarang? Udah makan belum?,Ham
Bro udah datang ke kampus belum? Lagi apa?,Ham
Mau tanya udah olahraga belum hari ini? Mau ikutan ga?,Ham
Apa kabar? Lagi ngapain nih?,Ham
Hai lagi apa aja sekarang? Udah minum belum?,Ham
Sekarang kamu di mana? Mau jalan-jalan ga?,Ham
Eh udah sarapan belum? Lapar ga?,Ham
Apa kabar hari ini? Mau main ke mana nih?,Ham
Lagi apa? Udah makan siang belum?,Ham
Halo mau tanya udah denger lagu baru belum?,Ham
Bro lagi apa aja sekarang? Udah minum belum?,Ham
Eh lagi apa nih? Mau ke sana ga?,Ham
Apa kabar? Mau jalan-jalan ga?,Ham
Halo lagi ngapain sekarang? Udah makan belum?,Ham
Apa kabar hari ini? Lagi ngapain nih?,Ham
Lagi apa? Mau ikutan ga?,Ham
Halo lagi apa aja sekarang? Udah minum belum?,Ham
Eh udah olahraga belum? Mau ikutan ga?,Ham
Apa kabar? Lagi ngapain nih?,Ham
Hai lagi apa aja sekarang? Mau jalan-jalan ga?,Ham
Sekarang kamu di mana? Udah makan belum?,Ham
Eh mau tanya dong udah beli barang yang diperlukan belum?,Ham
Apa kabar hari ini? Mau main ke mana nih?,Ham
Lagi apa? Udah minum belum?,Ham
Halo lagi ngapain sekarang? Mau jalan-jalan ga?,Ham
Apa kabar hari ini? Lagi ngapain nih?,Ham
Lagi apa? Mau ikutan ga?,Ham
Halo lagi apa aja sekarang? Udah minum belum?,Ham
Eh udah olahraga belum? Mau ikutan ga?,Ham
Apa kabar? Lagi ngapain nih?,Ham
